food_code,food_name,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,image_url,,,,,,,,,,,,
BFP172,Arhar with spinach (Arhar dal aur palak),219.53,52.84,4.77,2.05,2.76,0.23,1.30,6.10,21.81,32.58,23.79,109.97,205.61,0.89,0.12,1.35,0.00,0.31,0.05,0.29,22.86,0.33,0.35,0.00,44.78,0.00,26.26,0.06,0.02,0.24,0.13,0.05,0.57,26.26,4.66,1307.38,curry bowl,,,,,,,,,,,,,
BFP174,Moong dal with vadi,99.51,24.08,1.00,0.40,2.05,0.45,0.39,4.75,2.99,6.77,3.98,112.36,33.66,0.18,0.02,0.03,0.00,0.10,0.02,0.06,17.81,0.16,0.65,0.00,1.95,0.00,3.18,0.01,0.01,0.07,0.03,0.02,0.22,3.18,2.81,318.11,curry bowl,,,,,,,,,,,,,
BFP176,Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),111.55,26.74,3.37,1.13,0.88,0.83,1.60,0.00,16.56,21.12,14.66,104.11,130.66,0.59,0.07,0.97,0.00,0.18,0.09,0.17,0.00,0.33,3.02,0.00,13.00,0.00,7.36,0.03,0.02,0.29,0.08,0.04,0.24,7.36,4.43,2711.24,curry bowl,,,,,,,,,,,,,
BFP177,Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),101.82,24.41,2.85,1.11,0.87,0.44,1.54,0.00,15.56,20.21,13.98,102.77,124.52,0.52,0.07,0.96,0.00,0.17,0.07,0.16,0.00,0.33,2.79,0.00,12.84,0.00,7.33,0.03,0.02,0.27,0.08,0.04,0.24,7.33,5.00,2678.95,curry bowl,,,,,,,,,,,,,
BFP178,Green gram whole with baghar (Sabut moong dal with tadka),264.04,63.43,6.80,3.23,2.48,0.15,3.02,5.45,25.04,52.02,32.57,181.69,192.66,1.00,0.15,3.19,0.00,0.53,0.12,0.42,20.42,0.20,0.80,0.00,3.92,0.00,20.06,0.07,0.04,0.34,0.28,0.06,0.24,20.06,0.21,197.72,bowl,,,,,,,,,,,,,
BFP179,Urad sabut special,329.11,79.39,5.03,2.33,5.46,0.86,2.15,13.38,21.45,42.63,20.55,60.09,160.47,0.71,0.08,2.51,0.00,0.31,0.07,0.33,52.57,0.36,4.15,0.00,8.24,0.00,18.22,0.04,0.03,0.32,0.35,0.07,0.58,18.22,6.44,1554.75,bowl,,,,,,,,,,,,,
BFP185,Kabuli channa curry,287.29,68.57,7.63,2.92,3.06,1.24,1.12,0.15,32.03,46.28,23.41,122.05,190.00,0.95,0.14,0.36,0.00,0.68,0.03,0.44,0.39,1.49,2.13,0.00,8.48,0.00,26.18,0.06,0.04,0.36,0.26,0.09,0.51,26.18,4.56,948.30,bowl,,,,,,,,,,,,,
BFP187,Besan gatte curry,791.86,189.38,16.26,7.75,10.72,4.50,3.25,2.80,151.08,128.59,37.09,356.27,274.59,1.89,0.13,3.22,0.01,0.81,0.08,0.89,7.12,4.19,2.02,0.00,11.94,0.00,52.81,0.12,0.12,0.68,0.46,0.15,4.35,52.81,5.24,1097.60,bowl,,,,,,,,,,,,,
BFP190,Dry masala chops,563.44,135.07,3.30,9.08,9.54,2.27,0.86,2.24,112.25,103.52,10.66,83.47,219.97,1.39,0.03,0.54,0.00,0.34,0.03,0.23,5.69,1.70,0.47,0.00,4.54,0.00,10.29,0.09,0.12,2.89,0.16,0.05,0.89,10.29,1.27,162.73,chops,,,,,,,,,,,,,
BFP194,Mutton korma,481.74,115.64,2.53,7.09,8.54,1.64,0.78,3.90,79.07,75.78,8.63,56.94,165.87,1.09,0.03,0.25,0.00,0.16,0.01,0.16,18.17,1.40,0.25,0.00,3.19,0.00,8.68,0.07,0.08,2.32,0.12,0.03,0.79,8.68,1.51,116.20,bowl,,,,,,,,,,,,,
BFP196,Shahi keema kofta curry,1722.07,418.13,1.73,4.14,43.83,0.78,0.91,14.97,14.51,46.65,12.06,104.53,119.63,0.67,0.05,0.49,0.00,0.26,0.04,0.78,0.97,20.27,1.59,0.00,7.58,0.00,5.60,0.04,0.04,1.05,0.24,0.07,0.80,5.60,3.40,662.29,bowl,,,,,,,,,,,,,
BFP197,Minced meat ball curry,456.26,109.79,2.86,6.82,7.85,1.27,1.49,24.77,23.84,75.90,18.97,170.06,194.09,1.01,0.08,0.82,0.00,0.47,0.06,1.28,1.61,1.73,2.66,0.00,8.52,0.00,9.08,0.06,0.07,1.72,0.39,0.11,1.32,9.08,5.53,1085.56,bowl,,,,,,,,,,,,,
BFP198,Boti kebab,554.28,132.86,3.06,9.22,9.27,2.09,0.76,1.21,98.67,95.61,9.99,78.14,221.64,1.41,0.03,0.53,0.00,0.19,0.01,0.18,3.07,1.47,0.84,0.00,2.18,0.00,12.03,0.10,0.10,3.11,0.15,0.05,0.72,12.03,8.26,86.90,kebab,,,,,,,,,,,,,
BFP199,Mutton seekh kebab,560.46,133.94,3.11,11.25,8.43,1.40,1.88,0.00,117.44,105.95,19.83,102.17,269.59,2.19,0.08,0.51,0.00,0.50,0.12,0.23,0.00,0.22,0.94,0.00,8.27,0.00,11.78,0.13,0.09,3.96,0.10,0.04,0.65,11.78,8.82,244.74,kebab,,,,,,,,,,,,,
BFP201,Indian lamb and egg curry (Nargisi kofta),1383.64,335.75,2.07,3.84,34.70,0.75,0.60,44.04,12.91,47.06,8.06,57.44,85.80,0.55,0.04,4.18,0.00,0.11,0.02,0.56,25.09,15.96,0.61,0.08,4.01,1.40,11.35,0.03,0.05,0.60,0.30,0.06,2.43,11.35,1.96,268.45,kofta,,,,,,,,,,,,,
BFP203,Soya chunks sweet and sour (Nutrinugget sweet and sour),2061.90,500.94,3.27,2.85,55.99,1.10,0.86,23.51,13.89,41.68,11.23,2257.67,111.45,0.70,0.04,1.31,0.00,0.16,0.01,0.17,12.18,26.18,1.05,0.07,6.48,0.98,8.79,0.02,0.01,0.16,0.13,0.04,2.29,8.79,8.19,237.51,bowl,,,,,,,,,,,,,
BFP204,Soya chunks korma (Nutrinugget korma),546.59,131.43,7.67,3.86,9.50,4.66,2.57,3.32,89.70,94.03,33.57,148.98,252.27,1.18,0.15,1.46,0.00,0.81,0.12,0.62,8.44,3.27,1.26,0.00,8.58,0.00,19.98,0.06,0.10,0.33,0.33,0.12,1.88,19.98,4.66,295.50,bowl,,,,,,,,,,,,,
BFP205,Mushroom matar,293.62,70.77,5.33,2.79,4.11,1.39,3.13,0.00,21.42,42.27,21.71,61.63,214.87,0.81,0.10,0.40,0.01,0.56,0.04,0.37,0.00,2.00,10.34,0.00,21.21,0.00,20.57,0.07,0.02,0.61,0.33,0.11,3.52,20.57,14.89,1737.12,bowl,,,,,,,,,,,,,
BFP206,Soya chunks and peas (Nutrinugget matar),342.63,82.62,5.82,3.03,5.11,1.64,2.86,0.00,20.32,34.93,22.75,70.97,173.49,0.99,0.11,0.47,0.00,0.66,0.05,0.45,0.00,2.44,6.67,0.00,21.66,0.00,23.37,0.09,0.02,0.54,0.28,0.10,1.67,23.37,17.56,2049.02,bowl,,,,,,,,,,,,,
BFP207,Vegetable yakhni,1672.03,406.06,1.94,1.18,43.80,1.44,0.61,1.92,43.67,34.30,7.80,38.05,82.80,0.24,0.02,0.72,0.00,0.19,0.01,0.17,4.88,20.61,0.33,0.00,3.83,0.00,10.60,0.02,0.05,0.08,0.19,0.02,0.92,10.60,0.95,30.54,bowl,,,,,,,,,,,,,
BFP208,Spinach mushroom (Palak mushroom),197.65,47.63,2.95,1.94,2.96,1.00,2.27,2.89,49.75,35.93,52.12,70.97,416.07,1.69,0.12,1.10,0.02,0.70,0.01,0.32,12.99,1.40,5.08,0.00,172.25,0.00,78.93,0.10,0.06,0.39,0.24,0.12,3.80,78.93,20.40,5865.56,bowl,,,,,,,,,,,,,
BFP210,Vegetarian nargisi kofta curry,1369.48,332.15,6.58,2.29,32.94,1.65,0.86,1.03,47.09,42.55,11.15,73.56,147.70,0.38,0.05,2.10,0.01,0.14,0.02,0.34,5.47,15.47,0.97,0.00,5.44,0.00,14.52,0.03,0.02,0.33,0.16,0.04,2.19,14.52,6.83,479.04,kofta,,,,,,,,,,,,,
BFP212,Roast chicken,833.38,199.90,0.10,20.49,13.06,0.05,0.03,69.66,13.61,168.30,19.34,71.71,280.00,0.79,0.26,17.41,0.00,0.03,0.01,0.74,60.39,0.38,0.03,1.29,0.58,26.05,9.86,0.09,0.06,7.56,1.08,0.50,3.88,9.86,0.23,36.67,joint,,,,,,,,,,,,,
BFP214,Shahi chicken masala,680.74,163.70,4.07,9.82,12.02,2.86,0.96,24.78,82.68,124.15,21.76,142.56,230.91,0.89,0.14,10.48,0.01,0.24,0.02,0.63,20.26,2.99,1.07,0.47,5.54,9.55,18.74,0.06,0.06,2.95,0.53,0.22,3.95,18.74,2.84,501.22,bowl,,,,,,,,,,,,,
BFP216,Tomato chicken,465.81,111.68,2.13,10.57,6.71,0.93,1.42,27.94,21.24,95.13,21.29,104.83,252.17,0.87,0.17,8.49,0.00,0.18,0.03,0.48,3.16,1.37,5.56,0.63,15.68,12.62,13.73,0.07,0.05,3.96,0.63,0.30,2.47,13.73,13.91,2873.12,bowl,,,,,,,,,,,,,
BFP217,Creamy chicken,637.49,152.87,3.13,13.52,9.57,2.11,0.69,39.28,50.37,136.76,21.54,97.08,267.95,0.82,0.18,10.58,0.00,0.18,0.01,0.64,27.78,1.59,0.35,0.76,9.26,15.34,15.01,0.08,0.09,4.58,0.80,0.34,3.34,15.01,3.43,437.06,bowl,,,,,,,,,,,,,
BFP218,Broccoli chicken ala king,500.33,119.56,5.34,7.97,7.57,2.49,1.92,27.85,73.36,111.25,19.27,104.01,297.25,0.78,0.10,4.72,0.00,0.16,0.01,0.67,61.75,0.92,0.03,0.29,78.70,5.89,44.67,0.10,0.14,2.12,0.68,0.19,3.56,44.67,33.80,285.51,bowl,,,,,,,,,,,,,
BFP220,Ginger chicken,538.19,129.17,5.60,8.24,8.24,1.95,1.21,19.24,18.41,76.28,19.98,365.86,228.87,0.96,0.13,6.84,0.00,0.40,0.01,0.40,2.18,2.69,1.68,0.48,6.49,8.69,16.75,0.05,0.04,2.83,0.55,0.23,2.80,16.75,13.01,319.87,bowl,,,,,,,,,,,,,
BFP221,Chicken sweet and sour,1834.35,445.09,2.67,6.92,47.59,0.89,0.58,32.47,21.98,77.46,13.05,1809.94,153.46,0.93,0.09,5.04,0.00,0.12,0.00,0.37,11.50,21.55,0.87,0.35,5.33,6.74,8.92,0.03,0.02,1.85,0.35,0.14,2.76,8.92,6.73,195.14,bowl,,,,,,,,,,,,,
BFP222,Chicken korma,616.78,147.96,5.43,9.83,9.67,3.32,1.82,23.66,68.66,123.22,29.57,119.21,277.53,1.06,0.19,7.46,0.00,0.57,0.09,0.68,8.46,2.39,0.89,0.48,6.06,9.61,16.96,0.07,0.09,3.02,0.63,0.26,2.76,16.96,2.89,205.18,bowl,,,,,,,,,,,,,
BFP223,Bengal fish curry (Bengali machli curry),458.08,109.43,4.42,7.26,7.03,2.39,1.93,13.92,44.44,95.07,27.62,76.38,207.98,0.85,0.08,9.85,0.01,0.87,0.05,0.44,11.12,0.46,1.18,0.20,7.87,0.32,14.96,0.04,0.03,0.66,0.50,0.09,1.10,14.96,3.02,361.12,bowl,,,,,,,,,,,,,
BFP226,Fish finger,2236.49,542.90,4.47,5.66,55.82,0.17,0.34,30.00,11.38,67.87,12.17,103.55,135.39,0.38,0.04,9.15,0.00,0.05,0.00,0.26,17.99,27.01,0.17,0.18,3.73,1.05,7.85,0.03,0.02,0.50,0.39,0.06,1.19,7.85,3.18,47.23,fillet,,,,,,,,,,,,,
BFP229,Fish in coconut milk (Nariyal ke doodh ke saath machli),359.89,86.21,2.73,8.66,4.43,1.55,1.52,17.13,21.94,99.28,23.46,73.93,190.38,0.91,0.10,23.80,0.01,0.24,0.03,0.38,6.02,1.07,1.08,0.08,6.82,1.94,11.67,0.04,0.05,1.11,0.59,0.08,2.75,11.67,3.29,279.51,dish,,,,,,,,,,,,,
BFP230,Prawn curry (with coconut) (Jhinga curry),456.07,109.55,3.10,8.54,6.93,2.03,1.56,37.12,37.25,115.45,35.67,375.86,150.65,0.96,0.23,25.13,0.01,0.18,0.06,0.72,0.65,3.54,1.65,0.62,7.49,155.70,15.25,0.02,0.03,0.66,0.95,0.09,0.41,15.25,1.30,290.41,bowl,,,,,,,,,,,,,
BFP231,Baked stuffed fish,510.13,121.96,2.12,16.14,5.43,0.35,0.38,36.95,18.80,182.00,29.35,74.36,242.97,0.35,0.06,24.39,0.01,0.05,0.01,0.48,37.50,1.08,1.52,0.50,2.59,0.81,11.02,0.05,0.03,1.25,0.95,0.12,0.46,11.02,2.14,422.28,fish,,,,,,,,,,,,,
BFP232,Fish pie,504.07,120.90,7.74,9.25,5.77,1.13,0.76,23.97,36.15,123.74,24.55,101.80,316.28,0.46,0.07,12.54,0.01,0.10,0.02,0.41,43.75,0.65,0.34,0.25,3.63,0.40,12.12,0.05,0.04,0.94,0.67,0.10,0.95,12.12,8.84,183.60,pie,,,,,,,,,,,,,
BFP233,Crispy baked fish,579.51,138.40,9.59,10.95,6.41,1.53,1.21,28.89,60.04,147.43,24.23,192.42,208.73,0.55,0.07,14.37,0.01,0.15,0.02,0.51,56.78,0.70,3.33,0.27,8.22,0.44,16.53,0.07,0.04,1.03,0.60,0.10,1.22,16.53,6.00,1112.31,casserole dish,,,,,,,,,,,,,
BFP234,Fish souffle,582.36,139.71,5.14,10.51,8.55,2.09,0.19,84.69,63.87,148.86,18.50,92.45,167.34,0.59,0.05,17.30,0.01,0.06,0.02,0.57,82.71,0.85,0.37,0.35,0.64,2.81,15.32,0.05,0.09,0.56,0.80,0.09,3.93,15.32,0.82,144.69,dish,,,,,,,,,,,,,
BFP239,Potato curry (Aloo ki sabzi),372.12,89.56,10.42,1.52,4.47,1.58,2.42,0.00,23.74,38.19,25.30,78.40,383.45,0.97,0.10,0.51,0.00,0.28,0.05,0.31,0.00,2.08,3.37,0.00,12.09,0.00,17.65,0.05,0.02,0.76,0.31,0.10,1.43,17.65,20.92,1767.43,bowl,,,,,,,,,,,,,
BFP240,Egg curry (Anda curry),488.28,117.52,4.03,5.38,8.81,1.90,2.09,120.74,41.59,83.17,21.72,142.12,198.53,1.52,0.10,13.53,0.00,0.29,0.07,0.63,65.32,3.22,4.36,0.28,14.68,4.82,29.51,0.05,0.08,0.37,0.64,0.12,7.03,29.51,12.55,2257.77,bowl,,,,,,,,,,,,,
BFP241,Vegetable curry with coconut ,346.17,83.07,7.19,2.77,4.66,1.41,3.35,0.00,19.63,33.58,23.16,43.40,215.47,0.95,0.12,0.62,0.00,0.30,0.04,0.45,0.00,1.32,5.28,0.00,19.42,0.00,23.60,0.10,0.02,0.64,0.31,0.10,1.72,23.60,18.73,1287.89,bowl,,,,,,,,,,,,,
BFP242,Curd with potatoes (Dahi aloo),249.60,59.90,7.15,1.56,2.72,1.82,1.19,1.45,36.36,43.34,15.87,51.99,259.27,0.47,0.05,0.56,0.00,0.16,0.02,0.25,3.69,1.11,1.48,0.00,5.75,0.00,11.79,0.04,0.04,0.47,0.24,0.07,1.14,11.79,11.32,788.54,bowl,,,,,,,,,,,,,
BFP246,Potato kofta curry (Aloo kofta curry),1873.55,455.40,2.78,0.56,49.08,0.63,0.56,2.60,7.77,13.24,6.90,30.12,97.57,0.26,0.03,0.33,0.00,0.12,0.02,0.09,5.25,24.00,0.74,0.00,5.74,0.07,4.76,0.01,0.01,0.19,0.09,0.03,0.52,4.76,4.57,364.69,bowl,,,,,,,,,,,,,
BFP249,Yam kofta curry (Zimikand/Suran kofta curry),1328.95,322.88,3.75,0.71,33.84,0.63,1.04,3.54,8.35,15.20,8.55,42.22,109.02,0.31,0.05,0.38,0.00,0.10,0.01,0.11,7.14,16.51,0.95,0.01,6.05,0.10,5.79,0.01,0.01,0.16,0.10,0.05,1.06,5.79,4.81,458.69,bowl,,,,,,,,,,,,,
BFP250,Jackfruit kofta curry (Kathal ka kofta curry),1321.43,321.08,3.17,0.80,33.83,2.40,0.96,3.54,11.36,10.97,8.78,40.04,79.59,0.24,0.05,0.29,0.00,0.14,0.01,0.08,7.14,16.46,2.11,0.01,11.08,0.10,8.43,0.02,0.01,0.14,0.08,0.05,1.03,8.43,3.66,460.06,bowl,,,,,,,,,,,,,
BFP257,Spinach and potato (Palak aloo),237.65,57.17,5.91,1.63,2.82,0.93,2.04,0.00,43.67,31.34,49.44,62.46,457.28,1.59,0.12,1.15,0.01,0.63,0.01,0.33,0.00,1.81,2.07,0.00,150.69,0.00,72.22,0.10,0.05,0.51,0.25,0.12,2.56,72.22,23.49,5207.79,bowl,,,,,,,,,,,,,
BFP258,Mooli bhujia,381.68,91.20,4.74,1.69,7.25,1.07,2.36,0.00,131.88,41.21,40.41,89.73,282.60,2.37,0.18,16.74,0.03,0.73,0.05,0.38,0.00,0.08,1.12,0.00,96.46,0.00,38.24,0.04,0.08,0.41,0.16,0.13,3.17,38.24,40.71,4782.41,bowl,,,,,,,,,,,,,
BFP259,Bathua bhujia,380.42,90.90,3.63,2.26,7.29,1.08,3.80,0.00,165.84,36.77,43.74,81.99,387.93,2.36,0.10,1.12,0.00,1.45,0.03,0.82,0.00,0.23,1.17,0.00,171.93,0.00,36.12,0.05,0.39,0.50,0.36,0.16,1.28,36.12,33.57,2695.52,bowl,,,,,,,,,,,,,
BFP261,Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),592.14,142.48,6.09,8.21,9.36,1.26,1.84,32.90,31.54,92.25,20.93,118.05,252.57,0.98,0.08,1.19,0.00,0.28,0.03,1.43,24.85,1.34,0.72,0.00,43.53,0.00,22.86,0.07,0.09,1.94,0.50,0.15,1.65,22.86,15.26,206.24,roll,,,,,,,,,,,,,
BFP262,Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),518.75,124.63,7.03,5.76,8.17,3.81,2.35,18.79,29.82,75.47,26.41,123.98,425.86,0.95,0.14,0.93,0.00,0.33,0.03,0.98,14.19,3.20,0.59,0.00,26.14,0.00,23.38,0.25,0.08,1.89,0.33,0.16,2.45,23.38,18.48,499.78,roll,,,,,,,,,,,,,
BFP263,Dry arbi (Sookhi arbi),558.91,134.95,11.11,2.12,8.97,1.55,2.47,0.00,22.77,50.67,25.76,81.25,322.90,0.68,0.18,0.23,0.01,0.41,0.05,0.31,0.00,4.50,1.32,0.00,5.91,0.00,16.33,0.04,0.02,0.40,0.14,0.12,2.36,16.33,4.04,515.00,bowl,,,,,,,,,,,,,
BFP264,Masala arbi,768.05,185.38,16.16,3.01,11.90,0.81,3.10,0.00,32.08,74.02,35.19,261.31,467.53,0.99,0.27,0.29,0.01,0.47,0.06,0.40,0.00,6.02,0.31,0.00,3.95,0.00,17.32,0.05,0.03,0.51,0.11,0.16,3.18,17.32,1.63,98.56,bowl,,,,,,,,,,,,,
BFP266,Peas brinjal bhartha (Matar baingan bhartha),350.00,84.55,5.02,2.05,6.05,1.57,3.63,0.00,19.63,33.02,22.00,63.65,224.01,0.63,0.11,0.23,0.00,0.21,0.02,0.32,0.00,2.92,3.58,0.00,19.01,0.00,31.52,0.08,0.07,0.59,0.32,0.09,1.94,31.52,10.65,1160.05,small bowl,,,,,,,,,,,,,
BFP269,Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),457.73,110.81,4.50,1.83,9.27,1.42,3.57,0.00,67.88,49.02,52.60,92.78,233.03,0.88,0.12,0.81,0.00,0.29,0.04,0.41,0.00,4.82,5.57,0.00,17.16,0.00,51.27,0.04,0.05,0.53,0.26,0.22,1.62,51.27,17.48,927.88,bowl,,,,,,,,,,,,,
BFP270,Crispy okra/Crispy lady's fingers (Karare bhindi),2707.49,657.76,4.35,1.91,70.40,0.26,1.75,0.00,27.61,27.93,20.56,40.42,90.14,0.56,0.06,0.48,0.00,0.18,0.01,0.21,0.00,34.73,1.76,0.00,10.35,0.00,26.27,0.04,0.03,0.29,0.14,0.09,0.86,26.27,5.29,332.23,small bowl,,,,,,,,,,,,,
BFP272,Beans foogath,435.99,105.06,3.26,2.03,9.22,1.70,4.15,0.00,44.20,42.52,30.98,81.22,259.29,0.95,0.10,0.42,0.00,0.29,0.04,0.35,0.00,3.03,2.72,0.00,16.08,0.00,47.50,0.04,0.04,0.60,0.23,0.32,4.23,47.50,3.51,1251.99,small bowl,,,,,,,,,,,,,
BFP273,Stuffed bittergourd (wet) (Bharwa karele),669.50,162.36,4.68,1.36,15.24,1.95,2.86,0.00,17.25,34.61,24.19,360.09,246.15,0.91,0.09,2.79,0.01,0.35,0.03,0.35,0.00,7.43,1.21,0.00,4.99,0.00,40.30,0.04,0.03,0.28,0.25,0.06,4.35,40.30,29.99,303.63,bowl,,,,,,,,,,,,,
BFP274,Jackfruit/Kathal (dry),2012.05,488.97,4.56,0.93,51.78,3.55,1.33,0.00,12.79,11.06,11.71,33.68,106.26,0.33,0.07,0.03,0.00,0.17,0.02,0.09,0.00,25.50,2.74,0.00,15.88,0.00,11.45,0.02,0.01,0.19,0.08,0.07,1.26,11.45,4.49,470.96,bowl,,,,,,,,,,,,,
BFP275,Yam fried (Zimikand/Suran fried),2023.72,491.76,5.47,0.79,51.79,0.80,1.44,0.00,8.11,17.62,11.35,37.07,151.93,0.43,0.08,0.17,0.00,0.12,0.02,0.13,0.00,25.58,0.94,0.00,8.06,0.00,7.36,0.02,0.01,0.22,0.12,0.06,1.31,7.36,6.27,468.83,bowl,,,,,,,,,,,,,
BFP276,"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",396.86,95.67,8.23,2.75,5.54,1.47,3.26,0.00,21.05,40.55,25.64,86.29,305.30,0.98,0.11,0.66,0.00,0.35,0.05,0.45,0.00,2.69,4.84,0.00,20.49,0.00,31.40,0.09,0.03,0.70,0.43,0.12,2.23,31.40,27.98,1274.92,bowl,,,,,,,,,,,,,
BFP277,Vegetable jalfrezi,283.89,68.48,5.43,1.40,4.38,1.79,2.97,0.00,27.11,33.26,22.88,79.46,270.92,0.68,0.08,0.62,0.01,0.30,0.05,0.24,0.00,2.10,4.08,0.00,32.60,0.00,28.31,0.05,0.04,0.58,0.24,0.14,2.09,28.31,25.93,4668.31,bowl,,,,,,,,,,,,,
BFP278,Vegetables stir fry ,128.24,30.78,3.19,1.04,1.47,0.86,1.37,0.00,13.30,15.82,8.61,55.00,115.07,0.34,0.04,0.27,0.00,0.10,0.01,0.21,0.00,0.80,2.42,0.00,18.73,0.00,15.94,0.04,0.02,0.24,0.18,0.05,0.91,15.94,9.82,656.77,small bowl,,,,,,,,,,,,,
BFP279,Broccoli delight,172.18,40.70,2.34,2.49,2.48,1.08,2.83,0.00,26.99,48.00,17.10,59.26,257.82,0.71,0.06,0.97,0.00,0.18,0.00,0.40,0.00,0.89,0.61,0.00,99.73,0.00,48.94,0.09,0.08,0.59,0.32,0.08,2.08,48.94,39.60,2865.20,bowl,,,,,,,,,,,,,
BFP280,Dhansak (vegetarian),344.57,82.80,7.28,3.32,4.18,0.91,4.17,0.00,26.40,57.86,28.30,34.18,264.50,1.26,0.18,3.62,0.00,0.33,0.19,0.50,0.00,1.56,1.61,0.00,19.64,0.00,18.72,0.06,0.04,0.47,0.23,0.08,0.76,18.72,5.50,1923.66,bowl,,,,,,,,,,,,,
BFP282,Cauliflower basket,378.52,90.95,3.97,5.21,5.88,1.47,2.40,51.10,100.19,143.16,20.59,194.22,258.16,0.92,0.05,5.12,0.01,0.17,0.01,0.65,68.29,0.29,0.99,0.09,10.46,1.51,36.64,0.04,0.11,0.24,0.66,0.11,4.28,36.64,29.63,156.53,portion,,,,,,,,,,,,,
BFP284,Stuffed bottle gourd (Stuffed ghiya/lauki),388.48,93.19,4.36,5.84,5.80,1.52,1.18,45.61,71.83,115.29,13.73,106.99,149.44,0.66,0.05,4.49,0.00,0.10,0.00,0.91,47.15,0.23,0.47,0.06,2.21,1.03,26.17,0.05,0.07,0.83,0.57,0.07,3.41,26.17,2.54,130.86,portion,,,,,,,,,,,,,
BFP286,Ducheese potato,583.32,140.54,10.94,3.60,9.01,0.29,1.29,85.15,18.10,67.45,20.30,103.85,423.33,0.76,0.08,7.92,0.00,0.12,0.01,0.44,119.63,0.48,0.18,0.15,2.44,2.66,20.28,0.05,0.05,0.78,0.55,0.10,4.32,20.28,16.84,232.15,potato,,,,,,,,,,,,,
BFP287,Roast potatoes ,363.95,87.32,14.52,1.53,2.35,0.33,1.71,5.51,10.38,42.96,23.89,90.67,528.24,0.57,0.09,0.75,0.00,0.15,0.02,0.28,24.79,0.11,0.23,0.00,2.53,0.00,15.08,0.06,0.01,1.01,0.37,0.10,1.32,15.08,22.46,221.14,potato,,,,,,,,,,,,,
BFP288,Stuffed baked potatoes ,417.77,100.20,11.03,3.82,4.39,0.40,1.31,72.99,25.72,71.59,20.95,92.09,429.14,0.81,0.08,7.94,0.00,0.12,0.02,0.46,70.47,0.38,0.22,0.15,4.94,2.63,22.35,0.06,0.06,0.78,0.56,0.11,4.60,22.35,18.04,260.91,potato,,,,,,,,,,,,,
BFP289,Potato nests,465.24,111.62,11.05,5.71,4.77,1.41,2.49,26.50,55.25,110.19,25.91,182.12,341.01,0.87,0.12,3.25,0.00,0.21,0.02,0.75,47.06,0.25,3.61,0.03,14.51,0.48,25.88,0.17,0.06,1.29,0.54,0.15,2.97,25.88,19.57,551.76,nest,,,,,,,,,,,,,
BFP290,Parsley potato,496.08,119.51,13.81,1.49,6.28,0.34,1.59,15.71,11.43,42.08,22.56,4.62,502.76,0.55,0.08,0.74,0.00,0.13,0.02,0.27,70.64,0.19,0.20,0.00,3.98,0.00,15.20,0.06,0.01,0.96,0.35,0.09,1.32,15.20,21.95,266.76,bowl,,,,,,,,,,,,,
BFP291,Creamed spinach and mushroom,1727.58,419.62,3.17,2.28,44.14,1.17,1.02,7.15,65.49,64.23,27.09,90.21,217.24,0.90,0.07,0.89,0.01,0.32,0.01,0.31,27.45,20.60,1.95,0.00,86.07,0.00,39.33,0.05,0.06,0.18,0.19,0.06,2.42,39.33,8.13,2458.82,bowl,,,,,,,,,,,,,
BFP292,Fricassee of Mushroom,444.43,106.66,8.13,3.65,6.63,2.51,1.23,13.55,84.97,95.57,12.24,118.98,151.77,0.36,0.05,0.94,0.01,0.11,0.01,0.36,59.27,0.21,4.07,0.00,6.17,0.00,13.34,0.04,0.08,0.34,0.30,0.07,3.27,13.34,14.13,720.96,dish,,,,,,,,,,,,,
BFP293,Cauliflower au gratin,607.02,145.90,9.13,4.45,10.20,3.01,1.44,22.15,119.69,126.89,15.99,164.96,181.30,0.57,0.05,1.48,0.00,0.14,0.01,0.53,91.28,0.29,0.68,0.00,5.18,0.00,20.68,0.05,0.10,0.28,0.41,0.07,2.07,20.68,14.91,166.25,bowl,,,,,,,,,,,,,
BFP294,Vegetable and cheese pie,527.01,126.88,8.76,4.03,8.28,2.69,1.91,18.88,99.48,116.19,19.44,117.99,243.97,0.58,0.07,1.00,0.00,0.15,0.02,0.55,76.79,0.28,1.69,0.00,8.70,0.00,21.50,0.06,0.08,0.44,0.39,0.11,2.46,21.50,11.34,1350.89,dish,,,,,,,,,,,,,
